id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo
36009,87857,Z. Diamond,,,,,,,https://media.api-sports.io/football/players/87857.png
36021,138725,K. Spence,,,,,,,
50118,144734,N. Touaizi,,,,,,,https://media.api-sports.io/football/players/144734.png
178832,94503,C. Bale,,,,,,,
18925,20329,R. Kiernan,,,,,,,https://media.api-sports.io/football/players/20329.png
1107,114752,C. N'Zogbia,,,,,,,https://media.api-sports.io/football/players/114752.png
74890,117417,W. Robertson,,,,,,,
36431,19873,O. Bogle,,,,,,,https://media.api-sports.io/football/players/19873.png
18643,18869,A. Smith,,,,,,,https://media.api-sports.io/football/players/18869.png
36600,20123,F. Lopes,,,,,,,
1091,114758,C. Cole,,,,,,,
1092,69261,J. O'Brien,,,,,,,
34892,20511,B. Clarke,,,,,,,https://media.api-sports.io/football/players/20511.png
44954,81998,H. Wright,,,,,,,
215085,578002,Italo Cabelinho,,,,,,,
45050,180770,B. Hosannah,,,,,,,https://media.api-sports.io/football/players/180770.png
56196,91595,M. Belvisi,,,,,,,
55192,314487,Salah Basha,,,,,,,https://media.api-sports.io/football/players/314487.png
118210,64282,V. Corozo,,,,,,,
76145,117598,N. Praprotnik,,,,,,,
123242,592798,A. Hrabina,,,,,,,
74891,98004,P. Cairney,,,,,,,
70362,350337,André Gomes,,,,,,,https://media.api-sports.io/football/players/350337.png
178833,163680,A. Dickinson,,,,,,,
48187,38828,Zubikarai,,,,,,,https://media.api-sports.io/football/players/38828.png
74892,117419,C. Antell,,,,,,,
36023,18478,M. Duckworth,,,,,,,https://media.api-sports.io/football/players/18478.png
36022,37679,R. Kip,,,,,,,https://media.api-sports.io/football/players/37679.png
35115,17631,J. Campbell-Ryce,,,,,,,https://media.api-sports.io/football/players/17631.png
36019,18626,J. Goddard,,,,,,,https://media.api-sports.io/football/players/18626.png
48440,116971,Seoane,,,,,,,
48441,116972,Hugo Fraile,,,,,,,
48442,116973,Imanol Elías,,,,,,,
76146,117700,A. Shitu,,,,,,,
178834,163683,J. Pritchett,,,,,,,
93010,114001,L. Vera,,,,,,,
56199,91565,Abreu Santos,,,,,,,
76147,117701,S. Johnson,,,,,,,
56744,31172,N. Clerici,,,,,,,
60421,113809,O. Kapo,,,,,,,
118212,81215,W. Ortiz,,,,,,,
76148,45230,L. Robinson,,,,,,,
76149,117702,L. McIntyre,,,,,,,
76150,117703,C. O'Neil,,,,,,,
76151,117577,C. Johnston,,,,,,,
178835,38834,D. White,,,,,,,
93012,5593,F. Pumpido,,,,,,,
178836,163694,A. Feneridis,,,,,,,
93008,57051,F. Vázquez,,,,,,,https://media.api-sports.io/football/players/57051.png
118216,81242,C. Suárez,,,,,,,
215086,621531,T. Rosario,,,,,,,
118214,16757,V. Narváez,,,,,,,
44472,284417,Dante Cassanova,,,,,,,https://media.api-sports.io/football/players/284417.png
44471,389579,Julian Eyestone,,,,,,,https://media.api-sports.io/football/players/389579.png
215087,624944,G. Rocha,,,,,,,
215088,624943,R. Cunha,,,,,,,
1133,114760,S. Harper,,,,,,,
215089,609070,J. Pires,,,,,,,
1135,114766,B. Friedel,,,,,,,
1136,114808,W. Gallas,,,,,,,
35119,230991,D. Kitson,,,,,,,
35120,118572,T. Pratt,,,,,,,
35122,88454,C. Belford,,,,,,,
35123,231354,G. Williams,,,,,,,
36003,82534,D. Fitzpatrick,,,,,,,
36597,17642,C. Dyson,,,,,,,
36598,20499,E. Goldthorp,,,,,,,
41803,82358,K. Cadogan,,,,,,,
36604,157276,B. Crellin,,,,,,,
41804,167237,J. Short,,,,,,,
60422,84153,M. Bourgeois,,,,,,,
1175,2283,David Luiz,,,,,,,https://media.api-sports.io/football/players/2283.png
215090,626426,M. Costa,,,,,,,
76152,117659,S. Stewart,,,,,,,
178837,163670,A. McGeorge,,,,,,,
