id,fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_xg,away_xg,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,stats_fetched_at,home_xg_ht,away_xg_ht
160399,248612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160400,248613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160401,248614,7,6,3,5,0,0,0,0,0,0,0,1,0,0.76,7,4,3,1,0,0,,,,,,,,,0,3,,,
160394,248607,17,4,5,1,0,0,0,0,0,0,1,0,0.76,0,5,3,1,2,0,1,,,,,,,,,1,0,,,
160402,248615,10,4,4,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,0,,,,,,,,,0,0,,,
160403,248616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,2,,,
160405,248618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160406,248619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
33445,93631,16,13,7,2,5,9,11,4,3,1,0,0,0.96,1.18,6,5,3,4,0,1,49,51,12,14,2,2,84,85,1,0,,,
80086,100635,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,2,0,,,
194244,290759,8,10,6,5,0,0,0,0,0,0,0,0,0,0,7,4,1,1,0,0,,,,,,,,,0,0,,,
194246,290761,10,12,4,6,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,,,,,,,,,0,1,,,
194247,290762,3,9,2,2,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,,,,,,,,,0,0,,,
194238,290753,17,8,8,4,0,0,0,0,0,0,0,0,0,0,12,2,1,1,0,0,,,,,,,,,0,0,,,
194242,290757,4,5,3,2,0,0,0,0,0,0,0,0,0,0,4,7,3,3,0,0,,,,,,,,,1,1,,,
194243,290758,5,7,4,4,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,,,,,,,,,0,1,,,
194237,290752,13,18,5,16,0,0,0,0,0,0,1,1,0.76,0.76,5,4,3,2,0,0,,,,,,,,,1,0,,,
194236,290751,15,4,8,2,0,0,0,0,0,0,1,0,0.76,0,13,4,0,1,0,0,,,,,,,,,2,0,,,
