id,fixture_id,home_win,draw,away_win,bookmaker,source
16448,16477,1.75,3.6,4.75,Bet365,CSV
16449,16478,2.1,3.2,3.4,Bet365,CSV
16450,16479,1.9,3.25,4.0,Bet365,CSV
16451,16480,2.8,3.1,2.5,Bet365,CSV
16452,16481,2.2,3.25,3.2,Bet365,CSV
16453,16482,2.3,3.3,2.9,Bet365,CSV
16454,16483,1.65,3.6,5.5,Bet365,CSV
16455,16484,1.65,3.5,5.5,Bet365,CSV
16456,16485,2.4,3.3,2.8,Bet365,CSV
16457,16486,3.0,3.0,2.45,Bet365,CSV
16458,16487,2.75,3.1,2.7,Bet365,CSV
16459,16488,2.15,3.4,3.25,Bet365,CSV
16460,16489,1.9,3.5,3.8,Bet365,CSV
16461,16490,2.15,3.25,3.4,Bet365,CSV
16462,16491,5.25,3.75,1.61,Bet365,CSV
16463,16492,2.05,3.3,3.5,Bet365,CSV
16464,16493,2.25,3.4,3.0,Bet365,CSV
16465,16494,1.9,3.5,4.0,Bet365,CSV
16466,16495,2.05,3.3,3.6,Bet365,CSV
16467,16496,1.9,3.4,4.0,Bet365,CSV
16468,16497,2.2,3.2,3.3,Bet365,CSV
16469,16498,2.6,3.3,2.62,Bet365,CSV
16470,16499,1.9,3.3,4.2,Bet365,CSV
16471,16500,1.9,3.3,4.2,Bet365,CSV
16472,16501,1.72,3.5,5.25,Bet365,CSV
16473,16502,3.0,3.2,2.4,Bet365,CSV
16474,16503,3.75,3.4,1.9,Bet365,CSV
16475,16504,2.37,3.1,3.1,Bet365,CSV
16476,16505,2.1,3.3,3.5,Bet365,CSV
16477,16506,2.7,3.25,2.62,Bet365,CSV
16478,16507,2.25,3.25,3.2,Bet365,CSV
16479,16508,2.25,3.3,3.1,Bet365,CSV
16480,16509,2.2,3.2,3.3,Bet365,CSV
16481,16510,4.33,3.3,1.85,Bet365,CSV
16482,16511,2.15,3.3,3.4,Bet365,CSV
16483,16512,1.7,4.0,4.5,Bet365,CSV
16484,16513,2.1,3.1,3.6,Bet365,CSV
16485,16514,1.95,3.5,3.8,Bet365,CSV
