id,name,api_football_id,fd_name,rating_mu,rating_sigma
100,Vallecano,728.0,Vallecano,1530.153875677869,2.937945084895353
101,Sevilla,536.0,Sevilla,1534.0443745525915,2.8454525289759185
102,Valencia,532.0,Valencia,1532.7020243782677,2.9195903785397204
103,Sociedad,548.0,Sociedad,1540.8149735439952,2.8547703509510747
104,Girona,547.0,Girona,1538.0420126412178,2.9616332942415857
105,Las Palmas,534.0,Las Palmas,1517.3407727958447,3.2435421719426354
106,Mallorca,798.0,Mallorca,1534.10578164413,2.885269229459616
107,Ath Bilbao,531.0,Ath Bilbao,1541.5945368085872,2.742587108723179
108,Real Madrid,541.0,Real Madrid,1559.1078192234954,3.247379645014991
109,Celta,538.0,Celta,1532.701588370362,2.958213483890648
110,Osasuna,727.0,Osasuna,1533.6528606592685,2.8343993300983286
111,Villarreal,533.0,Villarreal,1539.0258864216082,2.8888839994821116
112,Betis,543.0,Betis,1534.7824624786142,2.783600347145876
113,Getafe,546.0,Getafe,1531.0508698496467,2.930558298155414
114,Barcelona,529.0,Barcelona,1554.905291121259,2.9598252784042813
115,Cadiz,724.0,Cadiz,1529.0730201278786,3.0195718346546547
116,Alaves,542.0,Alaves,1526.9434423630967,3.453466213023315
117,Ath Madrid,530.0,Ath Madrid,1549.3442667755264,3.0118843617335243
118,Granada,715.0,Granada,1514.185026288808,3.6175095231770706
119,Espanol,540.0,Espanol,1513.0992252348967,3.353664608160251
120,Valladolid,720.0,Valladolid,1509.7573434345736,3.341053121295151
121,Elche,797.0,Elche,1506.5174676109668,3.339214928809964
122,Levante,539.0,Levante,1501.5082691156067,3.081307897220402
123,Eibar,545.0,Eibar,1503.3072371035382,2.7802041398093738
124,Huesca,726.0,Huesca,1498.222777550954,2.728827073404995
125,Leganes,537.0,Leganes,1503.7918418483366,2.6800276669426584
126,Amorebieta,9380.0,Amorebieta,1499.577634625855,3.540553427108372
127,Sp Gijon,731.0,Sp Gijon,1499.9913937995,2.6816460810261242
128,Santander,4665.0,Santander,1502.2695032055653,3.1632089125044067
129,Zaragoza,732.0,Zaragoza,1498.668369793105,2.7001501177437763
130,Villarreal B,9595.0,Villarreal B,1496.0744735992316,3.3930567157512197
