fixture_id,league_id,date_utc,calendar_year,side,is_home,shots_total,shots_on_goal,shots_inside_box,shots_outside_box,blocked_shots,corners,possession,pass_accuracy,xg
322722,57,2019-08-27 22:15:00,2019,away,false,12,4,6,6,3,6,,,0.9
264408,21,2022-11-05 05:00:00,2022,home,true,10,3,6,4,5,2,51,74,0.83
317517,53,2019-08-11 16:30:00,2019,home,true,13,3,9,4,4,7,,,1.18
200264,5,2019-03-09 19:45:00,2019,away,false,7,1,6,1,5,1,,,0.73
188558,2,2020-07-15 16:00:00,2020,away,false,8,4,5,3,3,6,,,0.68
231090,12,2022-10-22 11:00:00,2022,home,true,16,3,10,6,2,8,28,72,1.36
207703,7,2015-08-22 18:45:00,2015,away,false,9,4,5,4,2,3,,,0.72
374482,28,2026-03-01 22:15:00,2026,away,false,7,3,5,2,2,2,37,69,0.65
278570,28,2018-09-15 23:00:00,2018,away,false,11,4,5,6,2,9,,,0.79
96793,28,2021-12-11 20:00:00,2021,home,true,14,7,8,6,4,7,51,64,1.13
246275,16,2022-02-06 13:00:00,2022,away,false,7,4,4,3,2,1,42,78,0.57
216775,9,2017-10-22 19:00:00,2017,away,false,7,3,6,1,1,4,,,0.73
137610,22,2025-02-23 03:05:00,2025,away,false,15,5,11,4,5,6,64,89,1.41
93228,57,2024-06-08 00:00:00,2024,away,false,17,7,7,10,4,1,68,85,1.16
132384,40,2024-12-20 15:00:00,2024,away,false,10,3,3,7,2,5,50,70,0.59
271942,25,2016-08-27 14:00:00,2016,away,false,12,3,11,1,3,4,,,1.3
285251,31,2018-09-22 07:30:00,2018,away,false,11,4,7,4,1,4,,,0.95
276254,27,2022-02-18 17:00:00,2022,away,false,21,5,12,9,13,9,56,77,1.7
307528,46,2017-05-10 00:45:00,2017,home,true,22,3,11,11,4,7,,,1.65
99145,45,2024-11-23 20:30:00,2024,away,false,11,8,6,5,2,6,34,69,0.87
94003,57,2022-06-04 22:00:00,2022,home,true,14,3,7,7,6,3,64,87,1.05
254212,19,2016-10-16 21:30:00,2016,home,true,19,10,12,7,2,10,,,1.63
218107,9,2021-05-16 19:00:00,2021,home,true,10,1,8,2,5,3,70,85,0.99
95910,28,2022-05-09 22:00:00,2022,home,true,13,3,10,3,6,6,48,70,1.26
193764,3,2025-04-01 18:45:00,2025,away,false,11,0,5,6,6,5,63,83,0.79
260588,20,2025-05-10 20:30:00,2025,away,false,15,5,8,7,5,5,52,80,1.17
266211,22,2019-02-03 18:00:00,2019,away,false,12,3,5,7,2,3,,,0.82
190436,2,2024-11-06 20:00:00,2024,home,true,8,3,7,1,1,6,44,72,0.84
244450,16,2016-10-02 13:00:00,2016,home,true,20,5,12,8,3,7,,,1.66
186784,2,2017-02-26 12:00:00,2017,away,false,4,1,3,1,2,1,,,0.38
256246,19,2022-05-21 19:30:00,2022,home,true,17,3,11,6,7,3,58,85,1.48
332263,64,2019-12-08 20:00:00,2019,home,true,0,0,0,0,0,0,,,0.76
237621,14,2019-04-06 14:30:00,2019,away,false,15,1,6,9,6,2,,,1.01
204333,6,2020-07-05 17:30:00,2020,home,true,7,6,5,2,0,4,,,1.29
237538,14,2019-01-20 17:30:00,2019,away,false,12,4,8,4,0,1,,,1.06
289126,32,2025-03-10 18:00:00,2025,home,true,14,2,8,6,3,3,34,74,1.13
245834,16,2021-01-24 10:30:00,2021,away,false,6,3,2,4,1,2,49,87,0.37
285185,31,2018-07-29 11:35:00,2018,home,true,13,2,6,7,2,3,,,0.94
4743,3,2023-09-16 14:00:00,2023,home,true,12,4,11,1,5,5,36,66,1.3
295786,36,2025-07-27 13:00:00,2025,away,false,5,2,4,1,2,4,49,77,0.49
218014,9,2021-02-28 20:00:00,2021,home,true,12,2,10,2,5,7,53,85,1.87
302773,41,2025-12-28 15:45:00,2025,home,true,13,6,8,5,2,6,54,85,1.09
268801,23,2024-10-27 16:00:00,2024,home,true,8,1,7,1,2,7,49,78,1.49
155460,92,2023-04-05 22:00:00,2023,home,true,12,5,8,4,3,2,29,57,1.06
273389,25,2025-02-23 13:30:00,2025,home,true,16,4,13,3,4,6,65,85,1.6
263104,21,2018-12-01 05:00:00,2018,home,true,10,1,3,7,4,7,,,0.59
308595,46,2019-10-23 23:15:00,2019,home,true,14,5,7,7,1,8,,,1.05
139422,20,2023-05-20 23:30:00,2023,home,true,10,6,7,3,1,2,34,74,1.56
186715,2,2017-02-04 17:30:00,2017,home,true,17,6,4,13,4,6,,,0.92
190207,2,2023-04-15 14:00:00,2023,away,false,11,6,7,4,2,7,62,84,0.95
603760,107,2025-08-24 16:00:00,2025,away,false,16,4,12,4,7,9,52,88,2.17
123143,73,2023-10-15 12:30:00,2023,away,false,17,3,7,10,3,3,47,82,1.16
280528,29,2019-08-03 16:00:00,2019,home,true,8,4,4,4,3,2,,,0.6
