fixture_player_id,fixture_id,player_id,cards_red,cards_yellow,dribbles_attempts,dribbles_past,dribbles_success,duels_total,duels_won,fouls_committed,fouls_drawn,games_captain,games_minutes,games_number,games_position,games_rating,games_substitute,goals_assists,goals_conceded,goals_saves,goals_total,offsides,passes_accuracy,passes_key,passes_total,penalty_commited,penalty_missed,penalty_saved,penalty_scored,penalty_won,shots_on,shots_total,tackles_blocks,tackles_interceptions,tackles_total
995666,195513,34830,0,1,,1.0,,13.0,5.0,3.0,,false,90.0,40.0,F,7.3,false,,0.0,,1.0,2.0,15,2.0,24.0,,0,,0,,3.0,3.0,,,1.0
1255114,201882,49563,0,0,,,,1.0,1.0,,1.0,false,90.0,1.0,G,6.9,false,,2.0,4.0,,,19,,42.0,,0,0.0,0,,,,,,
9560548,356933,78843,0,0,,,,,,,,false,,18.0,M,,true,,0.0,,,,,,,,0,,0,,,,,,
2066479,219353,58875,0,0,,,,,,,,false,,1.0,G,,true,,0.0,,,,,,,,0,,0,,,,,,
9614972,357343,81565,0,0,,,,1.0,1.0,,1.0,false,18.0,75.0,M,6.6,true,0.0,0.0,,,,9,,12.0,,0,,0,,,,,,
5587490,125521,73120,0,0,,,,4.0,2.0,,,false,90.0,17.0,D,7,false,,0.0,,,,66,,74.0,,0,,0,,,,,2.0,1.0
2618744,233530,63181,0,0,2.0,,2.0,9.0,6.0,0.0,1.0,false,90.0,19.0,M,7.2,false,,,,,,68%,0.0,15.0,,0,,0,,2.0,6.0,,0.0,
2542140,231499,63512,0,1,,1.0,,8.0,4.0,2.0,1.0,false,90.0,4.0,D,6.3,false,0.0,0.0,,,,18,,25.0,,0,,0,,,,1.0,,
4386437,272555,89677,0,0,3.0,,1.0,,,1.0,2.0,false,90.0,14.0,F,6.8,false,,0.0,,,,65%,0.0,17.0,,0,,0,,2.0,3.0,0.0,0.0,2.0
2347631,226985,63134,0,0,,,,,,,,false,,15.0,D,,true,,0.0,,,,,,,,0,,0,,,,,,
9590579,157881,85943,0,1,6.0,1.0,3.0,14.0,7.0,1.0,2.0,false,90.0,14.0,F,7.5,false,,0.0,,1.0,1.0,32,2.0,38.0,,0,,0,,2.0,5.0,,,1.0
2974133,242146,71631,0,0,,,,6.0,4.0,2.0,,false,90.0,6.0,M,7.3,false,,0.0,,,,33,,38.0,,0,,0,,,,,3.0,3.0
2591367,232836,65780,1,2,0.0,,0.0,7.0,4.0,4.0,1.0,false,67.0,2.0,D,6.5,false,,,,,,87%,0.0,29.0,,0,,0,,0.0,0.0,,1.0,
7152536,321995,76960,0,0,0.0,,0.0,3.0,1.0,0.0,1.0,false,10.0,20.0,M,6.6,true,,,,,,75%,1.0,6.0,,0,,0,,0.0,0.0,,0.0,
2851668,26158,69197,0,1,,,,6.0,3.0,4.0,1.0,false,66.0,6.0,M,6.3,false,,0.0,,,,20,,21.0,,0,,0,,,,,,2.0
7236971,94168,137018,0,0,3.0,,2.0,7.0,2.0,1.0,,false,71.0,10.0,F,7,false,1.0,0.0,,,,16,2.0,20.0,,0,,0,,,1.0,,,
