id,name,country,fd_code,api_football_id,in_csv,in_pq
99,Coppa Italia,Italy,CUP-ITA,137,true,true
7,Serie A,Italy,I1,135,true,true
100000659,Super Cup,Israel,,659,false,false
141,Premier League,Ghana,GHA,570,true,false
100000899,League Cup,Finland,,899,false,false
2,Championship,England,E1,40,true,true
54,Nike Liga,Slovakia,SVK,332,true,true
100000964,Copa de la División Profesional,Bolivia,,964,false,false
18,Championship,Scotland,SC1,180,true,true
100000364,1. Liga,Latvia,,364,false,false
108,2. Liga,Austria,AUT2,219,true,false
100000563,Ettan - Norra,Sweden,,563,false,false
110,Thai League 1,Thailand,THA,296,true,false
40,Premier League,Egypt,EGY,233,true,true
100000328,Esiliiga A,Estonia,,328,false,false
6,Segunda Division,Spain,SP2,141,true,true
23,Eliteserien,Norway,NOR,103,true,true
