id,name,api_football_id,fd_name,rating_mu,rating_sigma,in_csv,in_pq
6282,Quepos Cambute,19738,,1571.069283920702,9.109307181936769,true,false
616,Akron Togliatti,6786,Akron Togliatti,1555.712928617962,5.657292782443608,true,true
5503,Cherbourg,3040,,1252.5301550759573,350.0,true,true
3443,MSV Duisburg,187,,1511.6994762830957,6.8303658278170625,true,true
100007053,Ajou University,7053,,1500.0,,false,false
100001221,Ypiranga-RS,1221,,1500.0,,false,false
100001445,Heilongjiang Lava Spring,1445,,1500.0,,false,false
100003951,Atletico Pellegrini,3951,,1500.0,,false,false
100018606,SAPA II,18606,,1500.0,,false,false
526,Club Tijuana,2280,Club Tijuana,1559.8944177906615,2.561740496911911,true,true
1687,Maritzburg Utd,2692,,1493.9631735419684,10.844818687680295,true,true
3409,FC 08 Homburg,1634,,1228.8868153904227,303.37245932520614,true,true
100013086,Betim,13086,,1500.0,,false,false
3686,Pontivy GSI,3098,,1618.899090403512,287.74742333225345,true,true
321,Sp Braga,217,Sp Braga,1550.285227789436,3.753251323135893,true,true
439,Cruzeiro,135,Cruzeiro,1516.6098373095083,1.820012385851394,true,true
6325,Persebaya Surabaya,2446,,1566.7112472397423,27.627294808631795,true,false
100006720,Dobrovce,6720,,1500.0,,false,false
100016133,Lions Gibraltar,16133,,1500.0,,false,false
5763,AD Satao,4868,,1500.0,350.0,true,true
1586,Brisbane Roar,947,,1504.3523246929853,3.6663350748992025,true,true
100013761,Bourg de Péage,13761,,1500.0,,false,false
3343,Calahorra,9581,,1363.704880316439,350.0,true,true
1733,Tampa Bay Rowdies,4021,,1542.8308976731985,3.470759125215554,true,true
5530,La Rochelle,13606,,1500.0,350.0,true,true
100006326,Zakynthos,6326,,1500.0,,false,false
100019121,Primavera de Curuguaty,19121,,1500.0,,false,false
100002430,Argentino de Merlo,2430,,1500.0,,false,false
100025886,Ishtixon,25886,,1500.0,,false,false
4808,France U19,10334,,2013.9890665702208,300.4869566332498,true,true
100016584,Neftgazmontaj,16584,,1500.0,,false,false
1486,Rīgas FS,4160,,1511.9977003529914,6.845252772202132,true,true
5320,SV Drochtersen/assel,1623,,1140.9452498166474,350.0,true,true
528,Cruz Azul,2295,Cruz Azul,1570.03356462588,2.5756697931603147,true,true
100010578,Ubuntu Cape Town,10578,,1500.0,,false,false
2731,Mons Calpe,16137,,1146.358456380026,350.0,true,true
100005017,Rahmatgonj MFS,5017,,1500.0,,false,false
5329,Luneburger SK Hansa,1645,,1190.7113587739561,350.0,true,true
6129,Blaublitz Akita,4315,,1567.168899755989,8.56235280872073,true,false
100026115,Politehnica UTM,26115,,1500.0,,false,false
100018788,Dostlik Oltiariq,18788,,1500.0,,false,false
100021185,Tavastia,21185,,1500.0,,false,false
4574,Szombathelyi Haladas,2395,,1417.1912019638282,61.69531771793864,true,true
2578,Gosport Borough,7717,,1587.6385915192475,319.56505037227623,true,true
2730,Mosta,4627,,1405.6083470282167,350.0,true,true
3370,Socuéllamos,9414,,1307.2619891482705,350.0,true,true
100009215,OTP,9215,,1500.0,,false,false
100007835,Portuguesa RJ,7835,,1500.0,,false,false
1722,Memphis 901,4001,,1541.8099504338743,4.751292181373444,true,true
100000827,IA Akranes,827,,1500.0,,false,false
5409,Les Mureaux,9964,,1500.0,350.0,true,true
100021180,Teniente Merino,21180,,1500.0,,false,false
2887,Turkmenistan,1539,,939.3383159571454,350.0,true,true
100013321,Pathum Thani Seeker,13321,,1500.0,,false,false
100005649,Chongqing High Wave,5649,,1500.0,,false,false
6086,Metalul Buzău,6875,,1546.7782695425312,22.804805247144838,true,false
100016310,Svoboda,16310,,1500.0,,false,false
100002013,FC Armavir,2013,,1500.0,,false,false
100023683,Kose II,23683,,1500.0,,false,false
100002478,Wazito FC,2478,,1500.0,,false,false
612,Torpedo Moscow,,Torpedo Moscow,1274.5296180654386,168.92141764988617,true,true
100004585,Chitipa United,4585,,1500.0,,false,false
100020159,Laško,20159,,1500.0,,false,false
100020945,Spital,20945,,1500.0,,false,false
1681,Orbit College,10582,,1374.8099963724167,61.712706339265644,true,true
5628,Aviron Bayonnais,3150,,1303.8847878680563,350.0,true,true
106,Mallorca,798,Mallorca,1554.661122095463,2.9233574464509933,true,true
69,Accrington,1360,Accrington,1494.299424328318,2.2914329953964927,true,true
4899,Kazakhstan U21,8202,,1237.437557965243,320.09361245085944,true,true
4328,Evian TG,3006,,1500.0,350.0,true,true
3032,Kosovo U19,20785,,1786.607973801753,319.29684875071723,true,true
1874,FK Tobol Kostanay,2259,,1445.1757410301043,24.323902363280908,true,true
100002423,Deportivo Roca,2423,,1500.0,,false,false
100013109,Bonsucesso,13109,,1500.0,,false,false
6505,Talanta,17897,,1471.1104235225762,54.39620393248042,true,false
100005488,Muharraq,5488,,1500.0,,false,false
4240,TOGB,19739,,801.4182864078938,336.51610482494027,true,true
1950,Paide,3528,,1279.7011246451093,28.01576395772777,true,true
100018514,IPS Edustus,18514,,1500.0,,false,false
323,Gil Vicente,762,Gil Vicente,1537.9466193102437,3.2248286169765734,true,true
100018653,Dangjin Citizen,18653,,1500.0,,false,false
