fixture_id,home_win,draw,away_win,bookmaker,source,in_csv,in_pq,known_at
274287,1.66,1.19,1.19,Betfair,API-Football-closing,true,false,2020-07-26 14:00:00
378951,1.27,5.8,8.5,Unibet,API-Football,true,false,2026-02-27 19:00:00
210669,1.76,3.85,5.13,Pinnacle,API-Football-closing,true,true,2023-04-23 13:00:00
525993,2.05,3.76,3.54,Pinnacle,API-Football-closing,true,false,2020-06-27 00:00:00
82364,2.9,3.43,2.45,Pinnacle,API-Football-closing,true,true,2020-08-21 00:00:00
525484,3.15,3.56,2.31,Pinnacle,API-Football-closing,true,false,2019-04-07 00:00:00
95756,3.04,2.94,2.75,Pinnacle,API-Football-closing,true,false,2022-02-22 22:15:00
254810,2.88,3.06,2.79,Pinnacle,API-Football-closing,true,false,2018-07-29 14:00:00
187804,2.07,3.58,3.78,Pinnacle,API-Football-closing,true,false,2019-01-19 15:00:00
56808,5.47,4.01,1.68,Pinnacle,API-Football-closing,true,false,2014-09-27 00:00:00
275949,5.42,4.33,1.63,Pinnacle,API-Football-closing,true,false,2021-02-14 16:30:00
374352,2.2,3.0,3.2,Bet365,API-Football-closing,true,false,2026-03-21 13:45:00
245698,1.39,4.95,8.66,Pinnacle,API-Football-closing,true,false,2020-11-07 16:00:00
546253,3.13,3.67,2.2,Pinnacle,API-Football-closing,true,false,2020-08-22 00:00:00
277030,1.65,3.96,5.39,Pinnacle,API-Football-closing,true,true,2025-05-10 18:15:00
585008,1.68,4.49,4.74,Pinnacle,API-Football-closing,true,false,2022-07-25 00:00:00
545326,1.57,3.97,6.87,Pinnacle,API-Football-closing,true,false,2018-04-29 00:00:00
571691,1.59,3.88,6.34,Pinnacle,API-Football-closing,true,false,2025-07-27 00:00:00
527460,2.54,3.51,2.87,Pinnacle,API-Football-closing,true,false,2023-05-07 00:00:00
209316,2.0,3.75,3.5,Bet365,CSV,false,true,2019-10-30 18:00:00
281624,3.29,3.41,2.26,Pinnacle,The-Odds-API,true,true,2024-08-26 17:00:00
245446,1.57,4.2,5.25,Bet365,CSV,false,true,2019-12-16 17:00:00
184150,5.59,4.29,1.63,Pinnacle,API-Football-closing,true,true,2020-10-31 15:00:00
295218,2.4,2.9,3.0,888sport,The-Odds-API,true,true,2026-01-25 14:00:00
523025,1.86,3.76,4.49,Pinnacle,API-Football-closing,true,false,2013-11-03 00:00:00
594293,2.4,3.16,3.25,Pinnacle,API-Football-closing,true,false,2019-12-03 00:00:00
196665,1.67,3.6,5.5,Bet365,CSV,false,true,2023-03-04 15:00:00
188838,2.3,3.25,3.2,Bet365,CSV,false,true,2020-12-26 15:00:00
75187,2.43,3.48,3.07,Pinnacle,API-Football-closing,true,false,2014-05-19 00:00:00
36120,3.49,2.87,2.51,Pinnacle,API-Football-closing,true,false,2021-06-05 00:00:00
84439,5.6,3.61,1.74,Pinnacle,API-Football-closing,true,false,2014-11-29 00:00:00
253521,2.21,3.24,3.77,Pinnacle,API-Football-closing,true,false,2015-05-09 21:30:00
581212,1.49,4.8,6.8,Pinnacle,API-Football-closing,true,false,2018-03-17 00:00:00
549348,2.04,3.5,4.0,Pinnacle,API-Football-closing,true,false,2013-07-09 00:00:00
262696,3.69,3.82,2.03,Pinnacle,API-Football-closing,true,false,2017-08-09 10:00:00
