fixture_id,team_id,team_name,coach_name,coach_api_id,formation,in_csv,in_pq
295713,1814,Opava,J. Balcarek,1192,4-4-1-1,false,true
231932,301,Heerenveen,,,,false,true
285856,4482,Qingdao Huanghai,Yang Weijian,12214,4-4-2,false,true
177457,60,Fleetwood Town,U. Rösler,1389,,false,true
295950,1502,Al Baten,Adel Abdulrahman,3369,4-2-3-1,false,true
5157,64,Portsmouth,J. Mousinho,19196,4-2-3-1,false,true
293073,1825,Asteras Tripolis,,,,false,true
350825,2831,Guatemala,Luis Fernando Tena Garduño,1011,4-1-4-1,false,true
100106924,100001403,Lask Juniors Linz,R. Brunmayr,3607,,false,false
254357,430,Sao Paulo,Rogério Ceni,129,3-4-2-1,false,true
196107,81,Newport County,J. Rowberry,15982,4-3-1-2,false,true
342683,2994,Llaneros de Guanare,R. Argüello,2822,,false,true
122156,1450,Torpedo Kutaisi,S. Kean,8386,,false,true
164247,3956,Maria da Fonte,Filipe Gonça,12738,,false,true
258483,471,FC Dallas,,,,false,true
333408,4689,SC Braga B,Wenderson Said,3112,,false,true
342814,1152,Zulia FC,F. Stifano,2543,,false,true
145656,1785,Real Espana,R. Gutiérrez,4882,,false,true
220268,242,Laval,,,,false,true
259106,467,Los Angeles Galaxy,B. Arena,1985,4-2-3-1,false,true
138828,483,Atlanta Utd,G. Pineda,15193,4-2-3-1,false,true
276137,656,Pogon Szczecin,K. Runjaic,1217,4-1-4-1,false,true
109766,1209,Gyirmot SE,A. Csertői,2753,,false,true
292148,902,Bohemians,K. Long,1554,,false,true
19790,245,Valenciennes,Jorge Maciel,5329,4-1-4-1,false,true
324750,1269,Zira,,,,false,true
230383,271,Darmstadt,M. Anfang,3089,4-1-4-1,false,true
349090,1728,Oakland Roots,Benny Feilhaber,16990,,false,true
119636,1389,Lokomotiv Sofia,I. Kolev,724,4-1-4-1,false,true
16186,190,Reggiana,A. Nesta,1621,3-4-3,false,true
219244,212,Lorient,Olivier Pantaloni,1466,3-4-3,false,true
24670,311,Feyenoord,A. Slot,2006,4-2-3-1,false,true
193034,60,Fleetwood Town,S. Brown,17756,4-3-3,false,true
290519,889,SJK,S. Boström,10159,4-4-2,false,true
239707,360,Mechelen,,,,false,true
138374,533,Club America,F. Ortiz,3501,4-2-3-1,false,true
329611,1312,FK Spartak Zdrepceva KRV,A. Chernyshov,3892,,false,true
137919,530,Queretaro,M. Gerk,17578,3-4-3,false,true
214570,186,Catanzaro,F. Caserta,1617,3-5-2,false,true
101095991,930,Al Riyadh,Y. Ferrera,2877,4-2-3-1,false,false
243792,4340,Bursaspor,,,,false,true
206884,177,Parma,,,,false,true
16276,194,Modena,P. Bianco,3728,3-5-2,false,true
126883,1510,FC Seoul,Park Jin-Seop,2774,4-2-3-1,false,true
214861,209,Marseille,,,,false,true
187667,29,Bristol City,L. Johnson,104,4-4-2,false,true
295978,929,Al Taawon,C. Gâlcă,2866,4-2-3-1,false,true
310504,1199,Diosgyori VTK,Fernando,1932,,false,true
290979,891,Ilves,J. Wiss,1789,,false,true
320929,971,Parana,,,,false,true
203662,110,Osasuna,Arrasate,1588,4-2-3-1,false,true
99491,1008,Emelec,Ismael Rescalvo,2246,,false,true
309073,977,Fortaleza FC,Sebastián Oliveros Gabriel,19332,3-4-3,false,true
242057,357,Gent,H. Vanhaezebrouck,2880,4-4-2,false,true
231486,286,Magdeburg,C. Titz,3088,3-3-1-3,false,true
162043,118,Granada,Fran Escribá,1583,3-5-2,false,true
194126,89,Stockport,David Paul Challinor,665,4-2-3-1,false,true
237496,1346,Tondela,Pepa,2221,4-4-2,false,true
210885,154,Verona,P. Zanetti,1608,4-2-3-1,false,true
294030,1825,Asteras Tripolis,,,,false,true
341153,1153,Deportivo Lara,,,,false,true
105332,1127,Sport Huancayo,J. Arce,2126,4-3-3,false,true
257200,439,Cruzeiro,José Leonardo Nunes Alves Sousa Jardim,22,4-2-3-1,false,true
150243,1904,Qatar,Félix Sánchez,352,5-3-2,false,true
206576,3451,Catania,,,,false,true
236132,1345,Nacional,,,,false,true
357167,439,Cruzeiro,José Leonardo Nunes Alves Sousa Jardim,22,4-3-3,false,true
183993,9,Everton,C. Ancelotti,2407,4-4-2,false,true
234670,300,Utrecht,R. Hake,1492,4-3-3,false,true
310590,1205,Mezokovesd-zsory,A. Kuttor,1926,,false,true
214383,173,Sampdoria,L. Semplici,2429,3-5-2,false,true
247674,407,Hibernian,,,,false,true
242854,358,Kortrijk,Y. Vanderhaeghe,1510,3-5-2,false,true
100106804,6006,Floridsdorfer AC,M. Handl,1424,,false,false
100688643,940,Vila Nova,W. Lopes,227,4-3-1-2,false,false
291843,4507,FF Jaro,Niklas Vidjeskog,10836,4-2-3-1,false,true
219679,226,Angers,,,,false,true
324343,1277,Qabala,,,,false,true
321179,969,Oeste,,,,false,true
341608,4726,Deportivo JBL del Zulia,,,,false,true
240426,351,Charleroi,,,,false,true
108181,1175,Aris,A. Shpilevskiy,2495,4-4-2,false,true
270877,613,Fakel Voronezh,D. Pyatibratov,18263,3-5-2,false,true
366940,277,Fortuna Dusseldorf,Daniel Moustapha Thioune,1334,4-2-3-1,false,true
27570,356,Cercle Brugge,M. Muslić,3609,4-2-3-1,false,true
128195,1549,Al Shamal,David Prats,24262,4-2-3-1,false,true
112323,1260,Primorje,M. Anđelković,18119,4-2-3-1,false,true
121040,1439,K. Lierse S.K.,C. Grégoire,6622,3-4-3,false,true
210170,176,Venezia,P. Zanetti,1608,4-3-2-1,false,true
371539,164,Atalanta,Raffaele Palladino,18433,3-4-2-1,false,false
232932,309,AZ Alkmaar,,,,false,true
219363,224,Lyon,Jorge Miguel Gonçalves Maciel,5329,3-4-2-1,false,true
95173,724,Talleres Cordoba,W. Ribonetto,21717,4-2-3-1,false,true
129254,1575,Paykan,M. Hoseini,5464,,false,true
220706,245,Valenciennes,,,,false,true
214261,3454,Cesena,M. Mignani,3725,3-4-2-1,false,true
100722316,283,VfL Osnabruck,D. Scherning,14941,,false,false
100392157,6012,FC Liefering,,,,false,false
247096,386,Buyuksehyr,Ç. Atan,17839,4-1-4-1,false,true
252134,413,Airdrie Utd,R. McCabe,17605,,false,true
191055,39,Birmingham,Chris Davies,22922,4-2-3-1,false,true
24539,311,Feyenoord,A. Slot,2006,4-2-3-1,false,true
155369,86,Salford,N. Wood,581,4-2-3-1,false,true
186108,52,Charlton,,,,false,true
283194,779,FC Copenhagen,S. Solbakken,1675,,false,true
171924,20,Wolves,,,,false,true
201537,110,Osasuna,Arrasate,1588,4-4-2,false,true
371834,219,Nantes,Vahid Halilhodzic,28141,4-1-4-1,false,false
