fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,home_xg_ht,away_xg_ht,stats_fetched_at,in_csv,in_pq,xg_covered,xg_nulled,known_at
255496,17,11,3,5,9,6,8,5,5,3,0,1,7,3,1,0,0,0,1.32,1.51,,,,,,,,,0,0,,,,true,true,true,false,2020-09-09 22:15:00
116158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,1,,,,true,true,false,true,2020-08-05 18:45:00
119900,3,8,1,4,0,0,0,0,0,0,0,0,5,9,2,1,0,0,,,49,51,9,14,0,0,,,0,0,,,2026-03-10 12:15:34.123351,true,true,false,true,2021-04-16 18:15:00
409893,18,9,9,3,,,,,,,,,11,1,1,3,0,0,,,,,10,17,,,,,0,0,,,,true,false,true,,2017-04-27 01:45:00
264513,13,9,7,4,9,3,4,6,1,1,1,0,7,8,0,2,0,0,1.82,0.56,55,45,5,13,4,1,77,70,1,0,,,,true,true,true,false,2023-05-07 06:45:00
323286,16,13,4,2,8,5,8,8,3,5,0,0,5,3,0,4,0,0,1.2,0.86,48,52,7,8,0,0,80,80,1,0,,,,true,true,true,false,2025-11-16 21:15:00
101542918,13,17,4,3,8,5,5,12,5,3,,,1,6,2,0,,,1.72,0.69,35,65,9,9,0,2,70,83,1,0,,,2026-07-04 21:34:46,false,false,true,false,2026-05-11 00:45:00
163878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,true,false,false,,2021-11-27 17:45:00
126967,13,19,6,9,10,12,3,7,2,3,0,0,4,4,1,0,0,0,1.26,1.63,34,66,7,10,0,1,69,87,1,0,,,2026-03-10 12:03:30.519671,true,true,true,false,2021-10-24 07:45:00
627513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,true,false,true,,2024-02-12 02:45:00
194373,9,10,6,2,7,6,2,4,0,1,0,0,2,6,1,3,0,0,0.88,0.83,,,,,,,,,1,0,,,,true,true,true,false,2017-10-21 15:45:00
115969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,2,0,,,2026-03-10 12:01:24.620971,true,true,false,true,2021-11-21 16:30:00
101090,9,6,6,2,0,0,0,0,1,1,0,0,5,5,2,1,0,0,,,47,53,12,7,1,1,,,0,0,,,,true,true,false,true,2023-07-23 19:45:00
611924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,true,false,true,,2025-03-23 06:45:00
