id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo,in_csv,in_pq
124239,4644,Y. Djahnit,,,,,,,,true,true
121079,369699,Kevin Balanta,,,,,,,https://media.api-sports.io/football/players/369699.png,true,true
103000,319356,E. McLaughlin,,,,,,,https://media.api-sports.io/football/players/319356.png,true,true
964,19216,B. Johnson,,,,,,,https://media.api-sports.io/football/players/19216.png,true,true
119102,428791,Óscar Pepinos,,,,,,,https://media.api-sports.io/football/players/428791.png,true,true
154589,498792,Grady Makiobo Makiobo,,,,,,,https://media.api-sports.io/football/players/498792.png,true,true
194061,196775,J. Martynets,,,,,,,,true,true
70269,199899,Fuki Yamada,,,,,,,https://media.api-sports.io/football/players/199899.png,true,true
100975,449607,Nikita Stoinov,,,,,,,https://media.api-sports.io/football/players/449607.png,true,true
157168,103924,J. Pérez,,,,,,,,true,true
214533,545129,W. Rodrigues,,,,,,,,true,true
73768,62167,Ekrem Kılıçarslan,,,,,,,https://media.api-sports.io/football/players/62167.png,true,true
41585,60045,J. Johnson,,,,,,,https://media.api-sports.io/football/players/60045.png,true,true
90485,1010,Fabian Rohner,,,,,,,https://media.api-sports.io/football/players/1010.png,true,true
84118,291138,Masaya Shibayama,,,,,,,https://media.api-sports.io/football/players/291138.png,true,true
173762,550907,Michel Costa,,,,,,,https://media.api-sports.io/football/players/550907.png,true,true
197605,250953,M. Prebin,,,,,,,,true,true
88593,327516,A. Ismagilov,,,,,,,https://media.api-sports.io/football/players/327516.png,true,true
45693,392441,Michael Stone,,,,,,,https://media.api-sports.io/football/players/392441.png,true,true
213469,142048,Tiago Crachat,,,,,,,,true,true
140994,46298,T. Kalake,,,,,,,,true,true
105819,66348,D. Fišl,,,,,,,,true,true
103166,408817,Conor Barr,,,,,,,https://media.api-sports.io/football/players/408817.png,true,true
129330,79746,D. Delgado,,,,,,,,true,true
110579,17279,Ahmed Abdelzaher,,,,,,,,true,true
182080,190325,Santi Ramos,,,,,,,https://media.api-sports.io/football/players/190325.png,true,true
34997,131123,J. Mooney,,,,,,,,true,true
102151,13815,Hernán Luna,,,,,,,https://media.api-sports.io/football/players/13815.png,true,true
212341,629826,Adrien Delrieu,,,,,,,https://media.api-sports.io/football/players/629826.png,true,true
81706,71234,K. Koreniuk,,,,,,,https://media.api-sports.io/football/players/71234.png,true,true
180012,284316,B. Fewster,,,,,,,https://media.api-sports.io/football/players/284316.png,true,true
110952,16947,Hosny Fathi,,,,,,,,true,true
75601,326935,L. Parker,,,,,,,https://media.api-sports.io/football/players/326935.png,true,true
61939,347646,T. Godame,,,,,,,https://media.api-sports.io/football/players/347646.png,true,true
36036,17608,N. Law,,,,,,,https://media.api-sports.io/football/players/17608.png,true,true
158160,360599,Thoni Brandao,,,,,,,,true,true
203397,84145,H. Diouf,,,,,,,,true,true
89588,66068,P. Stronati,,,,,,,https://media.api-sports.io/football/players/66068.png,true,true
118367,81211,L. Cabezas,,,,,,,,true,true
164429,28995,Jobby Justin,,,,,,,https://media.api-sports.io/football/players/28995.png,true,true
147319,39635,Leonardo Mifflin,,,,,,,https://media.api-sports.io/football/players/39635.png,true,true
69904,129779,Né Lopes,,,,,,,https://media.api-sports.io/football/players/129779.png,true,true
107445,471163,Rayan Al-Sharekh,,,,,,,https://media.api-sports.io/football/players/471163.png,true,true
167339,168022,B. Miguel,,,,,,,,true,true
199519,22576,V. Pillot,,,,,,,,true,true
90985,400713,Ledjan Sahitaj,,,,,,,https://media.api-sports.io/football/players/400713.png,true,true
116669,550621,Zvonimir Josić,,,,,,,https://media.api-sports.io/football/players/550621.png,true,true
155383,24472,V. Jomidava,,,,,,,,true,true
183718,112635,G. Muscat,,,,,,,,true,true
93176,6380,Luciano Gómez,,,,,,,https://media.api-sports.io/football/players/6380.png,true,true
121858,89442,L. Horvath,,,,,,,,true,true
170765,113099,J. Chávez,,,,,,,,true,true
138328,136478,E. Vecchio,,,,,,,,true,true
92374,201279,Goh Young-Jun,,,,,,,https://media.api-sports.io/football/players/201279.png,true,true
158314,414488,J. Sánchez,,,,,,,,true,true
143133,130891,V. Sydorenko,,,,,,,https://media.api-sports.io/football/players/130891.png,true,true
130885,11789,Eduardo Farías,,,,,,,https://media.api-sports.io/football/players/11789.png,true,true
98557,13106,Shuai Shao,,,,,,,https://media.api-sports.io/football/players/13106.png,true,true
92372,522646,Radoslaw Szafranski,,,,,,,https://media.api-sports.io/football/players/522646.png,true,true
215217,94204,E. Jongeling,,,,,,,,true,true
169712,123812,A. Ribera,,,,,,,,true,true
111294,17082,Omar El Habashi,,,,,,,,true,true
53369,175439,Homam Ahmed,,,,,,,https://media.api-sports.io/football/players/175439.png,true,true
155693,24336,L. Nanobashvili,,,,,,,,true,true
171543,127238,Hakeme Yazid,,,,,,,https://media.api-sports.io/football/players/127238.png,true,true
189759,331294,Angelo,,,,,,,,true,true
120651,311435,Julián Palacios,,,,,,,https://media.api-sports.io/football/players/311435.png,true,true
50360,162030,Jordi Martín,,,,,,,https://media.api-sports.io/football/players/162030.png,true,true
153571,488096,M. Hedhli,,,,,,,,true,true
126067,265763,M. Aquino,,,,,,,,true,true
83392,32990,Yoshihiro Nakano,,,,,,,https://media.api-sports.io/football/players/32990.png,true,true
199806,249843,R. Delcourt,,,,,,,,true,true
150033,227076,J. Bengoché,,,,,,,,true,true
84478,92858,Luis Perez,,,,,,,https://media.api-sports.io/football/players/92858.png,true,true
115793,28533,M. Mišić,,,,,,,,true,true
72933,62163,A. Güleryüz,,,,,,,,true,true
65387,89489,Andi Hoti,,,,,,,https://media.api-sports.io/football/players/89489.png,true,true
56498,53857,Choe Song-Hyok,,,,,,,,true,true
160027,56041,R. Savalnieks,,,,,,,https://media.api-sports.io/football/players/56041.png,true,true
175530,411751,Hugo de Llanos,,,,,,,https://media.api-sports.io/football/players/411751.png,true,true
166497,74647,A. Nurković,,,,,,,https://media.api-sports.io/football/players/74647.png,true,true
57333,352352,Mattia Musatti,,,,,,,https://media.api-sports.io/football/players/352352.png,true,true
54277,31410,D. Merelli,,,,,,,,true,true
